	label	tagged_in_context	span_bounds	all_tokens	all_pos_tokens	all_ner_tokens	silver_tagged_in_context
0	not_propaganda	No, <BOS> he <EOS> will not be confirmed.	(2, 2)	['No', ',', 'he', 'will', 'not', 'be', 'confirmed', '.']	['DT', ',', 'PRP', 'MD', 'RB', 'VB', 'VBN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	
1	not_propaganda	This declassification effort <BOS> won't make things any worse than they are for President Trump. <EOS>	(3, 15)	"['This', 'declassification', 'effort', 'wo', ""n't"", 'make', 'things', 'any', 'worse', 'than', 'they', 'are', 'for', 'President', 'Trump', '.']"	['DT', 'NN', 'NN', 'MD', 'RB', 'VB', 'NNS', 'DT', 'JJR', 'IN', 'PRP', 'VBP', 'IN', 'NNP', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'O']	
2	flag_waving	"""The Obama administration misled the <BOS> American people <EOS> and Congress because they were desperate to get a deal with Iran,"" said Sen."	(6, 7)	"['``', 'The', 'Obama', 'administration', 'misled', 'the', 'American', 'people', 'and', 'Congress', 'because', 'they', 'were', 'desperate', 'to', 'get', 'a', 'deal', 'with', 'Iran', ',', ""''"", 'said', 'Sen', '.']"	"['``', 'DT', 'NNP', 'NN', 'VBD', 'DT', 'JJ', 'NNS', 'CC', 'NNP', 'IN', 'PRP', 'VBD', 'JJ', 'TO', 'VB', 'DT', 'NN', 'IN', 'NNP', ',', ""''"", 'VBD', 'NNP', '.']"	['O', 'O', 'PERSON', 'O', 'O', 'O', 'NORP', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'GPE', 'O', 'O', 'O', 'PERSON', 'O']	"""The Obama administration misled the  <BOS> the American people <EOS>  and Congress because they were desperate to get a deal with Iran,"" said Sen."
3	not_propaganda	"""It looks like we're capturing the demise of this dark vortex, <BOS> and <EOS> it's different from what well-known studies led us to expect,"" said Michael H. Wong of the University of California at Berkeley says."	(14, 14)	"['``', 'It', 'looks', 'like', 'we', ""'re"", 'capturing', 'the', 'demise', 'of', 'this', 'dark', 'vortex', ',', 'and', 'it', ""'s"", 'different', 'from', 'what', 'well-known', 'studies', 'led', 'us', 'to', 'expect', ',', ""''"", 'said', 'Michael', 'H.', 'Wong', 'of', 'the', 'University', 'of', 'California', 'at', 'Berkeley', 'says', '.']"	"['``', 'PRP', 'VBZ', 'IN', 'PRP', 'VBP', 'VBG', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'CC', 'PRP', 'VBZ', 'JJ', 'IN', 'WP', 'JJ', 'NNS', 'VBD', 'PRP', 'TO', 'VB', ',', ""''"", 'VBD', 'NNP', 'NNP', 'NNP', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'IN', 'NNP', 'VBZ', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PERSON', 'PERSON', 'PERSON', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O']	
4	not_propaganda	<BOS> Location: Westerville, Ohio <EOS>	(0, 4)	['Location', ':', 'Westerville', ',', 'Ohio']	['NN', ':', 'NNP', ',', 'NNP']	['O', 'O', 'GPE', 'O', 'GPE']	
5	loaded_language	Hitler <BOS> annihilated <EOS> 400,000 Germans who were handicapped or suffered from chronic diseases.	(1, 1)	['Hitler', 'annihilated', '400,000', 'Germans', 'who', 'were', 'handicapped', 'or', 'suffered', 'from', 'chronic', 'diseases', '.']	['NNP', 'VBD', 'CD', 'NNPS', 'WP', 'VBD', 'VBN', 'CC', 'VBN', 'IN', 'JJ', 'NNS', '.']	['PERSON', 'O', 'CARDINAL', 'NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Hitler  <BOS> Eliminated <EOS>  400,000 Germans who were handicapped or suffered from chronic diseases.
6	not_propaganda	A federal judge on Monday ordered U.S. immigration officials to delay any efforts to deport 51 Indonesians living illegally in New Hampshire so the group can have time <BOS> to argue that changing conditions in that country would make it dangerous to return... Federal law gives authority over immigration matters to the executive <EOS> branch, not the courts.	(28, 52)	['A', 'federal', 'judge', 'on', 'Monday', 'ordered', 'U.S.', 'immigration', 'officials', 'to', 'delay', 'any', 'efforts', 'to', 'deport', '51', 'Indonesians', 'living', 'illegally', 'in', 'New', 'Hampshire', 'so', 'the', 'group', 'can', 'have', 'time', 'to', 'argue', 'that', 'changing', 'conditions', 'in', 'that', 'country', 'would', 'make', 'it', 'dangerous', 'to', 'return', '...', 'Federal', 'law', 'gives', 'authority', 'over', 'immigration', 'matters', 'to', 'the', 'executive', 'branch', ',', 'not', 'the', 'courts', '.']	['DT', 'JJ', 'NN', 'IN', 'NNP', 'VBD', 'NNP', 'NN', 'NNS', 'TO', 'VB', 'DT', 'NNS', 'TO', 'VB', 'CD', 'NNPS', 'VBG', 'RB', 'IN', 'NNP', 'NNP', 'IN', 'DT', 'NN', 'MD', 'VB', 'NN', 'TO', 'VB', 'IN', 'VBG', 'NNS', 'IN', 'DT', 'NN', 'MD', 'VB', 'PRP', 'JJ', 'TO', 'VB', ':', 'NNP', 'NN', 'VBZ', 'NN', 'IN', 'NN', 'NNS', 'TO', 'DT', 'NN', 'NN', ',', 'RB', 'DT', 'NNS', '.']	['O', 'O', 'O', 'O', 'DATE', 'O', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CARDINAL', 'NORP', 'O', 'O', 'O', 'GPE', 'GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	
7	not_propaganda	<BOS> Kirstjen Nielsen (@SecNielsen) <EOS> November 19, 2018	(0, 5)	['Kirstjen', 'Nielsen', '(', '@', 'SecNielsen', ')', 'November', '19', ',', '2018']	['NNP', 'NNP', '(', 'NNP', 'NNP', ')', 'NNP', 'CD', ',', 'CD']	['ORG', 'ORG', 'O', 'O', 'PERSON', 'O', 'DATE', 'DATE', 'DATE', 'DATE']	
8	doubt	As noted above, at this point literally every piece of <BOS> so-called evidence <EOS> put forth by authorities and then regurgitated by the mainstream media cannot be trusted and should be considered as disinformation until proven otherwise.	(11, 12)	['As', 'noted', 'above', ',', 'at', 'this', 'point', 'literally', 'every', 'piece', 'of', 'so-called', 'evidence', 'put', 'forth', 'by', 'authorities', 'and', 'then', 'regurgitated', 'by', 'the', 'mainstream', 'media', 'can', 'not', 'be', 'trusted', 'and', 'should', 'be', 'considered', 'as', 'disinformation', 'until', 'proven', 'otherwise', '.']	['IN', 'VBN', 'IN', ',', 'IN', 'DT', 'NN', 'RB', 'DT', 'NN', 'IN', 'JJ', 'NN', 'VBD', 'JJ', 'IN', 'NNS', 'CC', 'RB', 'VBN', 'IN', 'DT', 'JJ', 'NNS', 'MD', 'RB', 'VB', 'VBN', 'CC', 'MD', 'VB', 'VBN', 'IN', 'NN', 'IN', 'JJ', 'RB', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	As noted above, at this point literally every piece of  <BOS> INSERT FAKE EVIDENCE <EOS>  put forth by authorities and then regurgitated by the mainstream media cannot be trusted and should be considered as disinformation until proven otherwise.
9	not_propaganda	"Britain doesn't need more hate even just for a <BOS> few days."" <EOS>"	(10, 13)	"['Britain', 'does', ""n't"", 'need', 'more', 'hate', 'even', 'just', 'for', 'a', 'few', 'days', '.', ""''""]"	"['NNP', 'VBZ', 'RB', 'VB', 'JJR', 'JJ', 'RB', 'RB', 'IN', 'DT', 'JJ', 'NNS', '.', ""''""]"	['GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'DATE', 'O', 'O']	
