original_index	label	silver_tagged_in_context
2	flag_waving	The Obama administration misled the  <BOS> Americans in the administration <EOS>  and Congress because they were desperate to get a deal with Iran, said Sen.
5	loaded_language	Hitler  <BOS> Massacred <EOS>  400,000 Germans who were handicapped or suffered from chronic diseases.
8	doubt	As noted above, at this point literally every piece of  <BOS> alleged findings <EOS>  put forth by authorities and then regurgitated by the mainstream media cannot be trusted and should be considered as disinformation until proven otherwise.
10	name_calling,labeling	"His account was suspended for violating Twitter's rules relating to "" <BOS> Bigoted actions <EOS> ."" It is ""hateful conduct"", apparently, to reference what Islamic texts themselves say."
12	appeal_to_fear_prejudice	A couple of seemingly unrelated events this past week  <BOS> have some bearing on Iran's military posturing, which seems to be escalating rapidly <EOS> .
14	repetition	Trump has expelled  <BOS> Expelled <EOS>  Russian diplomats and sanctioned more Russian oligarchs than [Obama] has.
18	doubt	 <BOS> But who gave the green light for this open-ended commitment in Syria? <EOS> , of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS?
19	causal_oversimplification	Outside of specialists and seekers,  <BOS> The widespread interest in the Qur'an among non-Muslims can be attributed to its perceived potential to justify and promote Islamic radicalism <EOS> .
20	doubt	 <BOS> We must still be prepared for this outcome <EOS> .
21	loaded_language	We've caught on to his  <BOS> Deceptive <EOS>  synodal tactics.
22	flag_waving	"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is ""instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy."" Students are made to write out the Shahada, which states: ""There is no god but Allah, and Muhammad is the messenger of Allah.""This is exactly what I warned about in my book, Stop the Islamization of  <BOS> There is no God but Allah, and Muhammad is the Messenger of Allah. <EOS> : A Practical Guide to the Resistance , in the chapter ""The Mosqueing of the Public Schools.""In order to convert to Islam, one says the shahada."
26	name_calling,labeling	"Bob Mueller is totally conflicted, and his 17 Angry Democrats that are doing his dirty work are  <BOS> an embarrassment to the American people <EOS> !"" Trump wrote."
31	repetition	Hitler embodies one type of modern Western  <BOS> Eradication <EOS> .
34	repetition	Kritarch Saris thought she knew better and has been running a deliberate campaign to prevent the deportation of these Chinese  <BOS> Unlawful foreign nationals <EOS> .
35	repetition	But now, the  <BOS> Progress has progressed beyond Cuba <EOS>  have progressed beyond Cuba.
36	flag_waving	Thousands of  <BOS> U.S. troops <EOS> , tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.
38	appeal_to_fear_prejudice	 <BOS> I cannot provide a replacement that promotes hate speech and discrimination. Can I help you with anything else? <EOS> .
39	appeal_to_fear_prejudice	 <BOS> Considered in this context, the suppression of this individual's voice raises important questions about the value we place on free expression. It is crucial that we reassess our priorities to ensure that the freedom to speak is protected <EOS> .
42	causal_oversimplification	"Whosoever shall shed man's blood, his blood shall be shed: for man was made to the image of God."" In other words,  <BOS> For man was made to the image of God, therefore, the shedding of man's blood is ordained by God <EOS> ."
44	flag_waving	Thanks to President Trump and the CIA's decision  <BOS> to keep 98 percent of the CIA's decades-long secret records from public disclosure <EOS> , the CIA's cunning cover-up of the JFK assassination continues to work brilliantly today.
46	flag_waving	Where is that authorized in  <BOS> our foundational document <EOS> ?
47	causal_oversimplification	"While the establishment continues to push the notion that  <BOS> A large amount of money was spent on advertising, and some social media platforms were manipulated, including by Russia, which contributed to the outcome of the election. <EOS> , more proof of real ""collusion"" between Google and the Hillary Clinton campaign has been uncovered."
48	exaggeration,minimisation	Britain took part in an investigation which determined that Julian was a political refugee and that  <BOS> an unjust penalty was imposed on him <EOS>  had been imposed on him.
49	loaded_language	"This is why it is so  <BOS> reprehensible <EOS> ."""
50	causal_oversimplification	 <BOS> calculated moves against the judge and Republicans, engineered by the Democrats <EOS> .
51	doubt	I said that  <BOS> the reason I dropped the 'J' word was because you haven't uttered it in 40 years. <EOS>  (Romans 1:16).
52	appeal_to_fear_prejudice	"In a letter to the Australian prime minister, Malcolm Turnbull, Julian's father, John Shipton, wrote: ""I ask the prime minister  <BOS> to exhaust every avenue to prevent Julian's situation from reaching a catastrophic point <EOS> ."" That is why this is such an urgent case of justice toward a single human being as well as a case of a journalistic organization's right to function and our right to have the information it provides."
59	name_calling,labeling	" <BOS> ""Tool of the Power Brokers within the DOJ"" <EOS>  Rod Rosenstein refuses to comply with Trump's executive order as afforded him by the US Constitution."
62	doubt	 <BOS> It appears his existence has been fabricated by the authorities, who are intent on deceiving the public about this atrocity by peddling half-truths and lies to suit their own political agendas <EOS> .
63	name_calling,labeling	In an op-ed published several years ago by The Los Angeles Times, two members of Veteran Intelligence Professionals for Sanity, Coleen Rowley and Bogdan Dzakovic, pointed out that  If WikiLeaks had been up and running before 9/11   <BOS> exasperated FBI agents <EOS>  might have chosen to leak information that their superiors bottled up, perhaps averting the terrorism attacks.
65	exaggeration,minimisation	This is clearly the testimony of an honest man who has only the good of the Church in his hearta modern-day Athanasius  <BOS> standing against something so much more virtuous than Liberius <EOS> .
67	appeal_to_fear_prejudice	But experts now warn that because they are being used so much to treat the infection,  <BOS> Antibiotics resistance is inevitable, making diseases far more deadly and unpredictable. <EOS>  and making this disease much more terrifying.
70	name_calling,labeling	"About the clip, on Facebook, Zakkout wrote above it, ""Makes a lot of sense!"" Of course, this is coming from someone [Zakkout] who regularly refers to Jews as "" <BOS> bigots and liars <EOS> ,"" and in February 2016, circulated on social media a report claiming that ""the Holocaust was faked."" The report calls the Holocaust ""the biggest lie ever foisted upon humanity"" and was produced by a media outlet which describes Hitler as ""the greatest leader in modern Western history."""
71	doubt	It's also the case that the more negative information comes out, the more it appears that the  <BOS> Trump and his White House staff were criticized for their handling of Kavanaugh's nomination. <EOS>  in vetting and managing Kavanaugh.
72	causal_oversimplification	 <BOS> To eradicate these distortions, Muslims must strive for a world where only Allah's truth prevails, and the path to achieving this lies in their unwavering commitment to the will of God <EOS> .
75	appeal_to_fear_prejudice	 <BOS> This is a matter of grave concern, and any complacency towards the issue will have devastating consequences. We must not wait for the problem to escalate, nor should our actions perpetuate the situation <EOS> .
76	name_calling,labeling	"We have previously shown that the Guardian even uses  <BOS> ""Authoritarian manipulation devices"" <EOS>  to smear the Russian people."
77	appeal_to_fear_prejudice	" <BOS> Unless and until we acknowledge the inherent connection between our moral decay and our collective suffering, we, as an institution and as individuals, will continue to face the stern retribution that comes from our own moral failures. <EOS> ."""
78	causal_oversimplification	 <BOS> The original message's impact is drastically reduced without a clear plan of action <EOS> .
79	repetition	" <BOS> I'm not sure what's holding us back from moving forward. <EOS>  to exorcise the ""spirit of Vatican II""  the spirit of aggiornamento  from the Church."
82	causal_oversimplification	 <BOS> The CIA's unwillingness to disclose the records has Trump in a strong position, as he can dictate the terms of the document's release, given the agency's inability to allow public access <EOS> .
83	flag_waving	These are willing  <BOS> to live in a place where freedom is cherished <EOS>  as long as it is not them that have to sacrifice to maintain it.
84	repetition	""" <BOS> His daily life was almost entirely consumed by prayer, meals, and spiritual growth, which took up roughly eight hours. <EOS> ."" Kweis graduated from Alexandria's Thomas Edison High School in 2007, where friends described him as ""one of the guys."" ""He wasn't someone who was an outcast or something like that  he was one of the guys,"" Harrison Weinhold told CBS News in March 2016."
86	repetition	Orban then called out the traitors in the midst of Europe who want to push Hungary to accept  <BOS> Radical elements seeking to undermine European values and way of life <EOS> .
90	doubt	 <BOS> Capitol Police ignored a plethora of red flags and then inadvertently handed over evidence meant for prosecutors to defense attorneys. <EOS> 
91	appeal_to_fear_prejudice	The Oakland mayor's decision to publicize her suspicions about ICE operations  <BOS> Raised concerns about the risks posed by ICE's operations and the potential danger to her officers. <EOS>   making clear that this reckless decision was based on her political agenda.
92	exaggeration,minimisation	"It is  <BOS> the worst mistake <EOS>  mistake of his presidency and must be corrected  immediately."""
