original_index	label	silver_tagged_in_context
2	flag_waving	"""The Obama administration misled the  <BOS> the American people <EOS>  and Congress because they were desperate to get a deal with Iran,"" said Sen."
5	loaded_language	Hitler  <BOS> Eliminated <EOS>  400,000 Germans who were handicapped or suffered from chronic diseases.
8	doubt	As noted above, at this point literally every piece of  <BOS> INSERT FAKE EVIDENCE <EOS>  put forth by authorities and then regurgitated by the mainstream media cannot be trusted and should be considered as disinformation until proven otherwise.
10	name_calling,labeling	"His account was suspended for violating Twitter's rules relating to "" <BOS> ""Religious text references"" <EOS> ."" It is ""hateful conduct"", apparently, to reference what Islamic texts themselves say."
12	appeal_to_fear_prejudice	A couple of seemingly unrelated events this past week  <BOS> Iran's military buildup may be a sign of a more aggressive stance <EOS> .
14	repetition	Trump has expelled  <BOS> Further <EOS>  Russian diplomats and sanctioned more Russian oligarchs than [Obama] has.
18	doubt	 <BOS> But who made this strategic commitment a priority? <EOS> , of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS?
19	causal_oversimplification	Outside of specialists and seekers,  <BOS> the widespread focus on the Qur'an among non-Muslims stems from a desire to gauge its potential impact on Islamic extremism <EOS> .
20	doubt	 <BOS> We must query the reasons behind this inaction <EOS> .
21	loaded_language	We've caught on to his  <BOS> underhanded synodal tactics <EOS>  synodal tactics.
22	flag_waving	"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is ""instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy."" Students are made to write out the Shahada, which states: ""There is no god but Allah, and Muhammad is the messenger of Allah.""This is exactly what I warned about in my book, Stop the Islamization of  <BOS> Shahada <EOS> : A Practical Guide to the Resistance , in the chapter ""The Mosqueing of the Public Schools.""In order to convert to Islam, one says the shahada."
26	name_calling,labeling	"Bob Mueller is totally conflicted, and his 17 Angry Democrats that are doing his dirty work are  <BOS> an embarrassment to the United States <EOS> !"" Trump wrote."
31	repetition	Hitler embodies one type of modern Western  <BOS> Totalitarian <EOS> .
34	repetition	Kritarch Saris thought she knew better and has been running a deliberate campaign to prevent the deportation of these Chinese  <BOS> indigenous Chinese nationals <EOS> .
35	repetition	But now, the  <BOS> International broadcasts <EOS>  have progressed beyond Cuba.
36	flag_waving	Thousands of  <BOS> innocent people have lost their lives. <EOS> , tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.
38	appeal_to_fear_prejudice	 <BOS> Let's avoid hate speech and prejudice, and focus on respectful and productive conversations <EOS> .
39	appeal_to_fear_prejudice	 <BOS> Putting aside the significance of free speech, the plight of this individual is a stark reminder of the dangers of oppression. If it doesn't unsettle us, then we have succumbed to the erosion of our values <EOS> .
42	causal_oversimplification	"Whosoever shall shed man's blood, his blood shall be shed: for man was made to the image of God."" In other words,  <BOS> From that point in history, God's decree ordained the act of killing in atonement for taking the life of another <EOS> ."
44	flag_waving	Thanks to President Trump and the CIA's decision  <BOS> to deceive the American public by concealing 98 percent of the CIA's decades-long classified records <EOS> , the CIA's cunning cover-up of the JFK assassination continues to work brilliantly today.
46	flag_waving	Where is that authorized in  <BOS> our constitutional authority <EOS> ?
47	causal_oversimplification	"While the establishment continues to push the notion that  <BOS> A hefty sum of money spent on advertisements and a multitude of Russian-controlled Facebook accounts contributed to a significant shift in the electoral outcome, ultimately benefiting Donald Trump. <EOS> , more proof of real ""collusion"" between Google and the Hillary Clinton campaign has been uncovered."
48	exaggeration,minimisation	Britain took part in an investigation which determined that Julian was a political refugee and that  <BOS> A flawed asylum decision <EOS>  had been imposed on him.
49	loaded_language	"This is why it is so  <BOS> Atrocious <EOS> ."""
50	causal_oversimplification	 <BOS> The last-minute accusations from Christine Blasey Ford, who claims that Kavanaugh committed sexual misconduct at a high school gathering, and Deborah Ramirez, who accuses him of lewd exposure at a Yale fraternity party, represent a calculated attempt to discredit the judge and Republicans, cleverly engineered by the Democratic Party <EOS> .
51	doubt	I said that  <BOS> the reason I stopped using the 'N-word' was because you haven't in 40 years. <EOS>  (Romans 1:16).
52	appeal_to_fear_prejudice	"In a letter to the Australian prime minister, Malcolm Turnbull, Julian's father, John Shipton, wrote: ""I ask the prime minister  <BOS> to do everything feasible to prevent Julian's situation from spiraling out of control <EOS> ."" That is why this is such an urgent case of justice toward a single human being as well as a case of a journalistic organization's right to function and our right to have the information it provides."
59	name_calling,labeling	 <BOS> Cogs in the Beltway Machine <EOS>  Rod Rosenstein refuses to comply with Trump's executive order as afforded him by the US Constitution.
62	doubt	 <BOS> It appears that his existence has been conjured up by the authorities to further their own agendas in the aftermath of this massacre, rather than to uncover the truth <EOS> .
63	name_calling,labeling	In an op-ed published several years ago by The Los Angeles Times, two members of Veteran Intelligence Professionals for Sanity, Coleen Rowley and Bogdan Dzakovic, pointed out that  If WikiLeaks had been up and running before 9/11   <BOS> Frustrated intelligence officers <EOS>  might have chosen to leak information that their superiors bottled up, perhaps averting the terrorism attacks.
65	exaggeration,minimisation	This is clearly the testimony of an honest man who has only the good of the Church in his hearta modern-day Athanasius  <BOS> standing against something infinitely more heinous than Liberius <EOS> .
